experiment,genotype,freq,gain
27,VGLUT3KOAlpha9KO,4500,-18.1768198290417
27,VGLUT3KOAlpha9KO,5000,-17.0864328958678
27,VGLUT3KOAlpha9KO,5500,-16.1844747450329
27,VGLUT3KOAlpha9KO,6000,-12.7030103090949
27,VGLUT3KOAlpha9KO,6500,-5.67702010790081
27,VGLUT3KOAlpha9KO,7000,0.280084232690641
27,VGLUT3KOAlpha9KO,7500,6.37608949268336
27,VGLUT3KOAlpha9KO,8000,11.7764666509525
27,VGLUT3KOAlpha9KO,8500,15.8862437371411
27,VGLUT3KOAlpha9KO,9000,25.2490798741862
27,VGLUT3KOAlpha9KO,9500,26.6252606419778
27,VGLUT3KOAlpha9KO,10000,26.7533048849816
27,VGLUT3KOAlpha9KO,10500,23.333226197966
27,VGLUT3KOAlpha9KO,11000,NaN
27,VGLUT3KOAlpha9KO,11500,NaN
27,VGLUT3KOAlpha9KO,12000,NaN
27,VGLUT3KOAlpha9KO,12500,NaN
27,VGLUT3KOAlpha9KO,13000,NaN
27,VGLUT3KOAlpha9KO,13500,NaN
27,VGLUT3KOAlpha9KO,14000,NaN
27,VGLUT3KOAlpha9KO,14500,NaN
27,VGLUT3KOAlpha9KO,15000,NaN
28,VGLUT3KOAlpha9KO,500,NaN
28,VGLUT3KOAlpha9KO,1000,NaN
28,VGLUT3KOAlpha9KO,1500,NaN
28,VGLUT3KOAlpha9KO,2000,NaN
28,VGLUT3KOAlpha9KO,2500,NaN
28,VGLUT3KOAlpha9KO,3000,-14.0107504560805
28,VGLUT3KOAlpha9KO,3500,-17.8175712190044
28,VGLUT3KOAlpha9KO,4000,-20.7695215457594
28,VGLUT3KOAlpha9KO,4500,-17.1657663471521
28,VGLUT3KOAlpha9KO,5000,-15.3008096951449
28,VGLUT3KOAlpha9KO,5500,-15.9871036835755
28,VGLUT3KOAlpha9KO,6000,-9.23893493425792
28,VGLUT3KOAlpha9KO,6500,-7.85612529364486
28,VGLUT3KOAlpha9KO,7000,-4.26531505270691
28,VGLUT3KOAlpha9KO,7500,3.14499837072523
28,VGLUT3KOAlpha9KO,8000,9.23396309119009
28,VGLUT3KOAlpha9KO,8500,12.0712045006833
28,VGLUT3KOAlpha9KO,9000,15.6599095187565
28,VGLUT3KOAlpha9KO,9500,21.1837947134893
28,VGLUT3KOAlpha9KO,10000,24.2979492940488
28,VGLUT3KOAlpha9KO,10500,20.0021715126646
28,VGLUT3KOAlpha9KO,11000,NaN
28,VGLUT3KOAlpha9KO,11500,NaN
28,VGLUT3KOAlpha9KO,12000,NaN
28,VGLUT3KOAlpha9KO,12500,NaN
28,VGLUT3KOAlpha9KO,13000,26.6983622629789
28,VGLUT3KOAlpha9KO,13500,NaN
28,VGLUT3KOAlpha9KO,14000,NaN
28,VGLUT3KOAlpha9KO,14500,NaN
28,VGLUT3KOAlpha9KO,15000,NaN
29,VGLUT3KOAlpha9KO,500,NaN
29,VGLUT3KOAlpha9KO,1000,NaN
29,VGLUT3KOAlpha9KO,1500,NaN
29,VGLUT3KOAlpha9KO,2000,NaN
29,VGLUT3KOAlpha9KO,2500,NaN
29,VGLUT3KOAlpha9KO,3000,-14.1902173047182
29,VGLUT3KOAlpha9KO,3500,NaN
29,VGLUT3KOAlpha9KO,4000,-18.7252986972841
29,VGLUT3KOAlpha9KO,4500,-17.2872247213791
29,VGLUT3KOAlpha9KO,5000,-14.3558615455862
29,VGLUT3KOAlpha9KO,5500,-13.6460502789136
29,VGLUT3KOAlpha9KO,6000,-8.51485142981666
29,VGLUT3KOAlpha9KO,6500,-9.09665816814509
29,VGLUT3KOAlpha9KO,7000,-0.456961484649767
29,VGLUT3KOAlpha9KO,7500,9.37715470155172
29,VGLUT3KOAlpha9KO,8000,17.1626259872878
29,VGLUT3KOAlpha9KO,8500,22.0222328840707
29,VGLUT3KOAlpha9KO,9000,27.7244205315548
29,VGLUT3KOAlpha9KO,9500,31.2814975168625
29,VGLUT3KOAlpha9KO,10000,32.3008261173434
29,VGLUT3KOAlpha9KO,10500,32.2590036151834
29,VGLUT3KOAlpha9KO,11000,31.8139360443847
29,VGLUT3KOAlpha9KO,11500,29.9145553352499
29,VGLUT3KOAlpha9KO,12000,NaN
29,VGLUT3KOAlpha9KO,12500,NaN
29,VGLUT3KOAlpha9KO,13000,NaN
29,VGLUT3KOAlpha9KO,13500,NaN
29,VGLUT3KOAlpha9KO,14000,NaN
29,VGLUT3KOAlpha9KO,14500,NaN
29,VGLUT3KOAlpha9KO,15000,NaN
30,VGLUT3KOAlpha9KO,500,NaN
30,VGLUT3KOAlpha9KO,1000,NaN
30,VGLUT3KOAlpha9KO,1500,NaN
30,VGLUT3KOAlpha9KO,2000,NaN
30,VGLUT3KOAlpha9KO,2500,NaN
30,VGLUT3KOAlpha9KO,3000,NaN
30,VGLUT3KOAlpha9KO,3500,NaN
30,VGLUT3KOAlpha9KO,4000,NaN
30,VGLUT3KOAlpha9KO,4500,-15.7059252248576
30,VGLUT3KOAlpha9KO,5000,NaN
30,VGLUT3KOAlpha9KO,5500,-14.0061746323104
30,VGLUT3KOAlpha9KO,6000,-9.68844914341808
30,VGLUT3KOAlpha9KO,6500,-7.74843798680606
30,VGLUT3KOAlpha9KO,7000,-6.79912570634411
30,VGLUT3KOAlpha9KO,7500,-0.0785828928935288
30,VGLUT3KOAlpha9KO,8000,NaN
30,VGLUT3KOAlpha9KO,8500,5.21970815323159
30,VGLUT3KOAlpha9KO,9000,7.17363966394041
30,VGLUT3KOAlpha9KO,9500,NaN
30,VGLUT3KOAlpha9KO,10000,NaN
30,VGLUT3KOAlpha9KO,10500,NaN
30,VGLUT3KOAlpha9KO,11000,NaN
30,VGLUT3KOAlpha9KO,11500,NaN
30,VGLUT3KOAlpha9KO,12000,NaN
30,VGLUT3KOAlpha9KO,12500,NaN
30,VGLUT3KOAlpha9KO,13000,NaN
30,VGLUT3KOAlpha9KO,13500,NaN
30,VGLUT3KOAlpha9KO,14000,NaN
30,VGLUT3KOAlpha9KO,14500,NaN
30,VGLUT3KOAlpha9KO,15000,NaN
31,VGLUT3KOAlpha9KO,500,NaN
31,VGLUT3KOAlpha9KO,1000,NaN
31,VGLUT3KOAlpha9KO,1500,NaN
31,VGLUT3KOAlpha9KO,2000,NaN
31,VGLUT3KOAlpha9KO,2500,NaN
31,VGLUT3KOAlpha9KO,3000,NaN
31,VGLUT3KOAlpha9KO,3500,NaN
31,VGLUT3KOAlpha9KO,4000,NaN
31,VGLUT3KOAlpha9KO,4500,NaN
31,VGLUT3KOAlpha9KO,5000,NaN
31,VGLUT3KOAlpha9KO,5500,-15.2850680048471
31,VGLUT3KOAlpha9KO,6000,-12.0802260839368
31,VGLUT3KOAlpha9KO,6500,-10.4045972285581
31,VGLUT3KOAlpha9KO,7000,-10.113783284165
31,VGLUT3KOAlpha9KO,7500,-3.37328331431981
31,VGLUT3KOAlpha9KO,8000,-0.545038045596151
31,VGLUT3KOAlpha9KO,8500,4.02204082716642
31,VGLUT3KOAlpha9KO,9000,7.11858143168708
31,VGLUT3KOAlpha9KO,9500,9.74228535971827
31,VGLUT3KOAlpha9KO,10000,6.04220519034132
31,VGLUT3KOAlpha9KO,10500,NaN
31,VGLUT3KOAlpha9KO,11000,NaN
31,VGLUT3KOAlpha9KO,11500,NaN
31,VGLUT3KOAlpha9KO,12000,NaN
31,VGLUT3KOAlpha9KO,12500,NaN
31,VGLUT3KOAlpha9KO,13000,NaN
31,VGLUT3KOAlpha9KO,13500,NaN
31,VGLUT3KOAlpha9KO,14000,NaN
31,VGLUT3KOAlpha9KO,14500,NaN
31,VGLUT3KOAlpha9KO,15000,NaN
32,VGLUT3KOAlpha9KO,500,NaN
32,VGLUT3KOAlpha9KO,1000,NaN
32,VGLUT3KOAlpha9KO,1500,NaN
32,VGLUT3KOAlpha9KO,2000,NaN
32,VGLUT3KOAlpha9KO,2500,NaN
32,VGLUT3KOAlpha9KO,3000,NaN
32,VGLUT3KOAlpha9KO,3500,NaN
32,VGLUT3KOAlpha9KO,4000,-19.925271035259
32,VGLUT3KOAlpha9KO,4500,-14.1862233363466
32,VGLUT3KOAlpha9KO,5000,-11.612286923815
32,VGLUT3KOAlpha9KO,5500,-12.7382325741316
32,VGLUT3KOAlpha9KO,6000,-10.1408871901337
32,VGLUT3KOAlpha9KO,6500,-5.2859132745433
32,VGLUT3KOAlpha9KO,7000,4.17941605703354
32,VGLUT3KOAlpha9KO,7500,11.8438731151745
32,VGLUT3KOAlpha9KO,8000,17.1767316085887
32,VGLUT3KOAlpha9KO,8500,22.0692571027112
32,VGLUT3KOAlpha9KO,9000,19.6271478920185
32,VGLUT3KOAlpha9KO,9500,19.3105401233846
32,VGLUT3KOAlpha9KO,10000,NaN
32,VGLUT3KOAlpha9KO,10500,NaN
32,VGLUT3KOAlpha9KO,11000,NaN
32,VGLUT3KOAlpha9KO,11500,NaN
32,VGLUT3KOAlpha9KO,12000,NaN
32,VGLUT3KOAlpha9KO,12500,NaN
32,VGLUT3KOAlpha9KO,13000,NaN
32,VGLUT3KOAlpha9KO,13500,NaN
32,VGLUT3KOAlpha9KO,14000,NaN
32,VGLUT3KOAlpha9KO,14500,NaN
32,VGLUT3KOAlpha9KO,15000,NaN
33,VGLUT3KOAlpha9KO,500,NaN
33,VGLUT3KOAlpha9KO,1000,NaN
33,VGLUT3KOAlpha9KO,1500,NaN
33,VGLUT3KOAlpha9KO,2000,NaN
33,VGLUT3KOAlpha9KO,2500,NaN
33,VGLUT3KOAlpha9KO,3000,NaN
33,VGLUT3KOAlpha9KO,3500,NaN
33,VGLUT3KOAlpha9KO,4000,NaN
33,VGLUT3KOAlpha9KO,4500,NaN
33,VGLUT3KOAlpha9KO,5000,-19.3026295062744
33,VGLUT3KOAlpha9KO,5500,-17.2378486368089
33,VGLUT3KOAlpha9KO,6000,-18.4471911940587
33,VGLUT3KOAlpha9KO,6500,-15.7301545006022
33,VGLUT3KOAlpha9KO,7000,-12.8362867187406
33,VGLUT3KOAlpha9KO,7500,-11.2065997541629
33,VGLUT3KOAlpha9KO,8000,-6.07287425351613
33,VGLUT3KOAlpha9KO,8500,-0.32895088936494
33,VGLUT3KOAlpha9KO,9000,4.71323731776778
33,VGLUT3KOAlpha9KO,9500,9.76492237957139
33,VGLUT3KOAlpha9KO,10000,17.3463847820603
33,VGLUT3KOAlpha9KO,10500,22.70817554368
33,VGLUT3KOAlpha9KO,11000,26.0009356801916
33,VGLUT3KOAlpha9KO,11500,27.0188528887819
33,VGLUT3KOAlpha9KO,12000,29.2494748626446
33,VGLUT3KOAlpha9KO,12500,27.0580779186515
33,VGLUT3KOAlpha9KO,13000,27.0982137836313
33,VGLUT3KOAlpha9KO,13500,21.3822684635975
33,VGLUT3KOAlpha9KO,14000,33.6875524128167
33,VGLUT3KOAlpha9KO,14500,NaN
33,VGLUT3KOAlpha9KO,15000,NaN
34,VGLUT3KOAlpha9KO,500,NaN
34,VGLUT3KOAlpha9KO,1000,NaN
34,VGLUT3KOAlpha9KO,1500,NaN
34,VGLUT3KOAlpha9KO,2000,NaN
34,VGLUT3KOAlpha9KO,2500,NaN
34,VGLUT3KOAlpha9KO,3000,NaN
34,VGLUT3KOAlpha9KO,3500,-17.6141866445352
34,VGLUT3KOAlpha9KO,4000,-21.0376226927273
34,VGLUT3KOAlpha9KO,4500,-16.9291424221545
34,VGLUT3KOAlpha9KO,5000,-14.085196728438
34,VGLUT3KOAlpha9KO,5500,-11.9079066531818
34,VGLUT3KOAlpha9KO,6000,-10.5110775760742
34,VGLUT3KOAlpha9KO,6500,-4.49988188581885
34,VGLUT3KOAlpha9KO,7000,1.58202250756215
34,VGLUT3KOAlpha9KO,7500,7.06864765090886
34,VGLUT3KOAlpha9KO,8000,11.6614605671474
34,VGLUT3KOAlpha9KO,8500,15.4751878545901
34,VGLUT3KOAlpha9KO,9000,18.8826389757668
34,VGLUT3KOAlpha9KO,9500,20.5594400800983
34,VGLUT3KOAlpha9KO,10000,27.2110349764423
34,VGLUT3KOAlpha9KO,10500,19.0436047805717
34,VGLUT3KOAlpha9KO,11000,22.3198286121082
34,VGLUT3KOAlpha9KO,11500,NaN
34,VGLUT3KOAlpha9KO,12000,NaN
34,VGLUT3KOAlpha9KO,12500,NaN
34,VGLUT3KOAlpha9KO,13000,NaN
34,VGLUT3KOAlpha9KO,13500,NaN
34,VGLUT3KOAlpha9KO,14000,NaN
34,VGLUT3KOAlpha9KO,14500,NaN
34,VGLUT3KOAlpha9KO,15000,NaN
35,VGLUT3KOAlpha9KO,500,NaN
35,VGLUT3KOAlpha9KO,1000,NaN
35,VGLUT3KOAlpha9KO,1500,NaN
35,VGLUT3KOAlpha9KO,2000,NaN
35,VGLUT3KOAlpha9KO,2500,NaN
35,VGLUT3KOAlpha9KO,3000,NaN
35,VGLUT3KOAlpha9KO,3500,-15.7001230472778
35,VGLUT3KOAlpha9KO,4000,-19.9937850118193
35,VGLUT3KOAlpha9KO,4500,-17.8218181359928
35,VGLUT3KOAlpha9KO,5000,-17.0308216281399
35,VGLUT3KOAlpha9KO,5500,-14.4661353504349
35,VGLUT3KOAlpha9KO,6000,-10.3191585189482
35,VGLUT3KOAlpha9KO,6500,-5.17203492927796
35,VGLUT3KOAlpha9KO,7000,1.8929089760443
35,VGLUT3KOAlpha9KO,7500,8.25752375796569
35,VGLUT3KOAlpha9KO,8000,12.6672974890314
35,VGLUT3KOAlpha9KO,8500,16.5013040713271
35,VGLUT3KOAlpha9KO,9000,20.2542259065577
35,VGLUT3KOAlpha9KO,9500,22.9612150025684
35,VGLUT3KOAlpha9KO,10000,23.5018665243688
35,VGLUT3KOAlpha9KO,10500,35.2224996437397
35,VGLUT3KOAlpha9KO,11000,19.2711337420899
35,VGLUT3KOAlpha9KO,11500,NaN
35,VGLUT3KOAlpha9KO,12000,NaN
35,VGLUT3KOAlpha9KO,12500,NaN
35,VGLUT3KOAlpha9KO,13000,NaN
35,VGLUT3KOAlpha9KO,13500,NaN
35,VGLUT3KOAlpha9KO,14000,NaN
35,VGLUT3KOAlpha9KO,14500,NaN
35,VGLUT3KOAlpha9KO,15000,NaN
